Species,n,PPT_optimum_tc,PPT_optimum_ch,MAT_optimum_tc,MAT_optimum_ch
Symplocos mapiriensis,45,1199.362222,1178.688889,16.93888889,161.8222222
Symplocos nuda,25,1028.252,1129.64,15.70216667,146.92
Symplocos psiloclada,23,995.4043478,1431,14.13423913,119.3913043
Symplocos quitensis,134,1089.468657,1310.477612,12.34990672,113.8880597
Symplocos reflexa,17,1027.411765,1487.352941,15.16568627,140.1764706
Symplocos spruceana,10,1785.39,1871.3,20.17083333,187.9
Symplocos sulcinervia,16,1268.55,1329.25,15.94140625,145.125
Tabernaemontana arborea,20,2810.28,2722.6,26.32916667,253.95
Tabernaemontana cymosa,131,1734.681679,1619.038168,24.1528626,237.8549618
Tabernaemontana panamensis,31,3495.825806,4231.548387,22.27849462,217.516129
Tabernaemontana sananho,541,2778.067222,2824.531481,24.69216821,238.7611111
Tachigali amplifolia,24,2307.516667,2285.041667,25.73767361,247.625
Tachigali chrysaloides,31,2492.554839,2462.451613,24.10053763,237.516129
Tachigali chrysophylla,50,2659.668,2580.2,25.09641667,239.22
Tachigali inconspicua,39,2983.928205,2873.692308,23.43504274,228.0512821
Tachigali macbridei,41,2331.25122,2254.756098,24.97510163,240.4634146
Tachigali paniculata,101,2713.660396,2844.425743,26.05812706,245.0693069
Tachigali peruviana,28,1517.996429,1781.642857,24.77440476,238.3214286
Tachigali pilosa,27,2129.87037,2105.148148,24.02608025,235.1851852
Tachigali setifera,32,2126.596875,2035.96875,23.66171875,228.34375
Tachigali vasquezii,10,2342.43,2515.1,23.74666667,232.1
Talisia cerasina,144,2408.215278,2436.216783,25.13883102,241.5034965
Talisia coriacea,10,1859.2,1852,25.15041667,248.3
Talisia hexaphylla,75,2047.042667,1930.986667,25.02711111,245.0133333
Talisia macrophylla,62,2667.827419,2784.951613,24.88091398,237.1290323
Talisia obovata,21,2498.814286,2568.238095,25.28492063,240.9047619
Tapirira guianensis,817,2381.199143,2408.941248,24.45383517,236.2643819
Tapirira obtusa,103,2663.275728,2780.805825,24.74854369,237.0194175
Tapirira retusa,64,2693.854688,2805.609375,24.59121094,234.296875
Tapura acreana,63,2760.787302,2784.746032,26.42433862,247.3650794
Tapura peruviana,211,2995.364929,3157.549763,24.43311611,237.4170616
Terminalia amazonia,370,2398.681081,2366.872973,25.02983108,242.4243243
Terminalia grandis,29,2826.196552,3005.724138,25.62126437,243.7931034
Terminalia macrophylla,48,2811.56875,2957.1875,25.74401042,242.7083333
Terminalia oblonga,198,2293.598485,2275.737374,24.52756734,239.3383838
Terminalia oxycarpa,46,2392.847826,2395.978261,25.71096014,243.2608696
Terminalia tetraphylla,71,2307.633803,2370.126761,24.75516432,234.7887324
Terminalia triflora,86,1087.783721,1007.709302,20.59234496,195.6860465
Terminalia viridiflora,41,2946.063415,3078.268293,26.12855691,246.8292683
Ternstroemia asymmetrica,62,957.0322581,938.2096774,18.975,173.6935484
Ternstroemia circumscissilis,65,1632.601538,1783.615385,20.78467949,190.8461538
Ternstroemia jelskii,36,1289.472222,1389.111111,17.05069444,159.6944444
Ternstroemia macrocarpa,40,1938.5975,2355.925,14.83104167,146.15
Ternstroemia subserrata,37,1077.837838,1267.27027,15.92274775,144.8108108
Tetragastris altissima,88,2033.659091,2053.920455,24.86860795,243.0340909
Tetragastris panamensis,341,2704.473021,2793.035191,25.47749267,245.4604106
Tetrathylacium macrophyllum,455,2960.3,3026.1766,24.48010486,237.2604857
Tetrorchidium andinum,118,2364.235593,2455.805085,20.64477401,204.3474576
Tetrorchidium macrophyllum,292,2821.889726,2875.167808,22.79638984,224.5719178
Tetrorchidium rubrivenium,239,1804.761925,1948.125523,20.01595188,193.3556485
Theobroma cacao,511,2364.937965,2353.136986,24.54412916,240.5675147
Theobroma gileri,19,2079.4,2380.368421,21.86074561,219.2105263
Theobroma grandiflorum,58,2850.027586,2855.913793,25.66530172,244.3448276
Theobroma speciosum,107,2473.683178,2705.906542,25.24392523,245.8130841
Theobroma subincanum,444,2946.604279,3127.675676,25.2357545,242.0427928
Thinouia compressa,14,1610.285714,1177,21.56339286,210.2857143
Tibouchina bicolor,41,1178.568293,1222.609756,15.96554878,148.1707317
Tibouchina calycina,22,1135.854545,1429.454545,14.69602273,136.4545455
Tibouchina dimorphophylla,10,1165.15,1511.3,16.125,143.6
Tibouchina lepidota,232,1612.588312,1687.021645,16.66291486,159.1082251
Tibouchina ochypetala,109,1670.285321,1665.376147,20.60091743,196.733945
Tocoyena williamsii,92,2480.770652,2638.293478,23.4352808,226.673913
Tournefortia fuliginosa,229,1482.568559,1638.759825,13.02618268,127.5720524
Tournefortiopsis dependens,101,1551.473267,1805.287129,17.22578383,158.8415842
Tovomita carinata,11,2457.127273,2388.818182,25.98825758,247.5454545
Tovomita laurina,33,2587.712121,2512.666667,25.64494949,246.7575758
Tovomita longifolia,46,2605.213043,2665.543478,25.67853261,244.0869565
Tovomita obovata,17,1740.423529,1767.176471,24.63284314,236.9411765
Tovomita weddeliana,360,2909.078333,3006.382682,22.10532407,213.1564246
Toxicodendron striatum,276,1959.827899,1958.177536,18.85587258,183.1594203
Trattinnickia aspera,92,3186.651087,3208.543478,24.96182065,241.5978261
Trattinnickia burserifolia,98,2661.592857,2854.408163,25.71964286,239.7653061
Trattinnickia lawrancei,23,2347.591304,2322.782609,23.5923913,228.7391304
Trattinnickia peruviana,65,2648.855385,2567.938462,25.46628205,244.6615385
Trema domingense,70,2550.36,2526.328571,24.30690476,241
Trema micrantha,645,1808.648056,1842.194704,22.20329186,215.7990654
Trichilia catigua,83,1650.471084,1573.457831,21.18368474,213.0481928
Trichilia clausseni,10,1252.92,1029.9,19.80833333,195.5
Trichilia elegans,367,1700.277049,1667.47541,22.67472678,222.8251366
Trichilia micrantha,163,2688.023313,2790.226994,25.16359918,241.3496933
Trichilia pallida,647,2297.9,2320.644961,24.34367571,236.9658915
Trichilia pleeana,297,2128.102694,2122.087542,24.23070988,235.7272727
Trichilia poeppigii,155,3088.078065,3057.180645,25.72639785,247.3806452
Trichilia schomburgkii,50,2433.008,2462.08,24.79891667,235.02
Trichilia septentrionalis,334,2732.953293,2831.456456,23.98364521,233.5345345
Triplaris americana,205,2050.567317,1991.639024,24.02128049,233.8926829
Triplaris efistulifera,12,1617.925,1416,21.22743056,205.8333333
Triplaris poeppigiana,56,2243.0125,2125.375,23.94575893,236.6071429
Triplaris setosa,26,1791.226923,1493.692308,23.84855769,238.0769231
Triplaris vestita,21,1669.595238,1285.333333,21.5109127,209.5238095
Triplaris weigeltiana,72,2725.718056,3003.541667,24.81753472,238.5
Trophis caucana,329,2222.517378,2220.061162,22.82003303,221.5779817
Turpinia occidentalis,401,2140.885536,2265.523691,19.77470906,191.6483791
Tynanthus schumannianus,76,1800.135526,1678.986842,23.39013158,231.0263158
Unonopsis floribunda,255,2734.512549,2859.113725,25.07191176,244.5372549
Unonopsis guatterioides,228,2278.208333,2328.859649,25.65482456,245.3026316
Unonopsis spectabilis,71,2609.578873,2582.253521,25.04941315,240.1971831
Urera baccifera,595,1946.58,1964.292437,22.31793417,215.989916
Urera capitata,214,1980.651402,1978.668224,23.2659852,226.1214953
Urera caracasana,243,1948.25679,1995.888889,22.33084705,218.1481481
Urera laciniata,132,2614.548485,2458.651515,24.10044192,236.7045455
Urera lianoides,48,1893.472917,1795.125,21.88541667,215.3333333
Urera simplex,140,2148.997143,2186.45,22.07306548,214.9071429
Urera verrucosa,61,1930.355738,1943.508197,21.62964481,206.8360656
Vallea stipularis,709,1096.607334,1205.244006,12.34556888,116.9069111
Vantanea guianensis,17,2976.741176,3084.235294,25.27769608,242.3529412
Varronia acuta,10,1947.87,2047.8,18.26208333,178.3
Varronia cylindrostachya,47,1409.325532,1472.191489,15.18386525,146.893617
Vasconcellea pubescens,117,1421.312821,1308.324786,14.5269943,144.7435897
Vatairea erythrocarpa,43,2881.655814,3020.162791,25.48527132,245.3023256
Vatairea fusca,33,2229.109091,2169.181818,24.79924242,243.3333333
Vatairea guianensis,59,2875.138983,2979.813559,25.95805085,244.3220339
Verbesina nudipes,85,1971.478824,2074.552941,15.74446078,152.8117647
Vernonanthura patens,486,2203.198354,2217.439175,22.30300926,216.2886598
Viburnum anabaptista,19,2366.863158,2436.526316,15.83991228,149.7368421
Viburnum ayavacense,30,1174.4,1289.433333,17.11222222,152.3333333
Viburnum hallii,173,1168.50289,1322.439306,14.66182563,136.300578
Viburnum pichinchense,152,1671.372368,2008.703947,13.20315241,127.8881579
Viburnum reticulatum,33,1119.781818,1132.575758,17.53510101,168.1818182
Viburnum stipitatum,25,1347.176,1492.56,17.0245,156.2
Viburnum tinoides,227,1611.262996,1714.162996,15.23010279,145.7400881
Viburnum undulatum,100,2411.053535,2442.454545,15.09772727,141.7575758
Virola calophylla,412,2769.077427,2886.014563,25.20248786,241.5946602
Virola dixonii,70,3070.101449,3202.352941,24.90513285,244.1470588
Virola duckei,160,2949.316875,3139.66875,24.54096354,237.94375
Virola elongata,650,2789.934615,2916.793529,25.55698718,242.8428351
Virola flexuosa,203,3020.239901,3180.187192,25.19074302,244.7044335
Virola mollissima,72,3181.294444,3410.492958,25.67256944,247.0704225
Virola multinervia,101,3020.285149,3251.84,25.21287129,242.68
Virola obovata,72,3308.825,3690.402778,24.59878472,238.4305556
Virola pavonis,342,2862.105572,3044.501466,25.24995112,241.9648094
